package,kind,V1_typosquatting,V2_install_execution,V3_obfuscation,V4_command_execution,V5_insecure_deserialization,V6_encoding,V7_network_exfiltration
mcmine,archive,0,0,0,1,0,0,0
httpsreqfast,archive,0,0,0,0,0,1,1
tkintres,archive,0,0,0,1,0,0,1
pygaame,archive,1,0,0,0,0,0,0
web3-connect,archive,0,0,0,0,0,0,1
infopip,archive,0,0,0,1,0,0,0
onnxruntime-winml,archive,0,0,0,0,0,0,1
hydralib,archive,0,0,0,1,0,0,0
python-edenred-payments,archive,1,1,0,0,0,0,1
pycrypting,archive,0,0,0,1,0,0,1
stringintel,archive,0,0,0,1,0,0,0
morecolor,archive,0,0,0,0,0,0,1
posthydra,archive,0,0,0,1,0,0,0
grandram,archive,0,0,0,1,0,0,0
infoosint,archive,0,0,0,1,0,0,0
deeepl,archive,1,1,0,1,0,0,1
pygithub-async-utils,archive,1,0,0,0,0,0,1
shellapp,archive,0,1,0,1,0,0,1
suyo,dir,1,0,0,0,0,0,1
py-osintnvidiastring,archive,1,0,0,1,0,0,0
selfmcmaskintel,archive,0,0,0,1,0,0,0
selfloadedpy,archive,0,0,0,1,0,0,0
aiohttp-proxy5,archive,0,0,0,1,0,1,1
esqpyhydrarandom,archive,0,0,0,1,0,0,0
opensae,archive,1,1,0,1,0,0,1
xolodvbqgrfohn,dir,0,0,0,1,0,1,0
keyauthkey,dir,0,0,0,1,0,0,0
triple-equal,archive,0,0,0,0,0,1,1
antchain-sdk-loadtestmock,archive,0,1,0,0,0,0,1
infovirtual,archive,0,0,0,1,0,0,0
requests-https,archive,0,0,0,1,0,1,1
aiohttp-sock,archive,1,0,0,1,0,1,1
intver,archive,0,0,0,1,0,0,0
pycrypterexe,archive,0,1,0,0,0,0,1
sfox-ecdsa,archive,0,1,0,0,0,0,1
py-controlgrandlib,dir,1,0,0,1,0,0,0
pillox,archive,1,1,0,1,0,0,1
coloramqs,archive,1,1,0,1,0,0,1
ctfpipshell,archive,0,1,0,1,0,0,1
discord-wehbook,archive,1,0,0,0,0,0,0
flyadmin,archive,0,0,0,1,0,1,1
tpintgrandre,dir,0,0,0,1,0,0,0
reqests-toolbelt,archive,1,0,0,0,0,0,0
